TREATMENT,DOSE_APPLICATION,media,desviacion,n,error,Media ± SD,Media ± Error
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 800.0 ppm PRUNING SHEARS DIPPING,0.36738593533333336,,1,,0.37 ± nan,0.37 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 800.0 ppm PRUNING SHEARS SPRAYING,0.23363186333333333,,1,,0.23 ± nan,0.23 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 0.0 ppm POSITIVE WATER,2.0963518713333333,,1,,2.1 ± nan,2.1 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1000.0 ppm GREENHOUSE PLASTIC SPRAYING,0.18904303566666666,,1,,0.19 ± nan,0.19 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1000.0 ppm PRUNING SHEARS DIPPING,0.9889424573333333,,1,,0.99 ± nan,0.99 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1000.0 ppm PRUNING SHEARS SPRAYING,0.22965509066666667,,1,,0.23 ± nan,0.23 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 150.0 ppm HAND DIPPING,0.16108483766666667,,1,,0.16 ± nan,0.16 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 150.0 ppm HAND SPRAYING,0.16379344566666668,,1,,0.16 ± nan,0.16 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1500.0 ppm GREENHOUSE PLASTIC SPRAYING,0.0,,1,,0.0 ± nan,0.0 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1500.0 ppm PRUNING SHEARS DIPPING,1.744590877,,1,,1.74 ± nan,1.74 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1500.0 ppm PRUNING SHEARS SPRAYING,0.41212256333333336,,1,,0.41 ± nan,0.41 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 200.0 ppm HAND DIPPING,0.35743868733333334,,1,,0.36 ± nan,0.36 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 200.0 ppm HAND SPRAYING,0.9086448066666667,,1,,0.91 ± nan,0.91 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 250.0 ppm HAND DIPPING,0.7322398893333334,,1,,0.73 ± nan,0.73 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 250.0 ppm HAND SPRAYING,0.6859082270000001,,1,,0.69 ± nan,0.69 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 400.0 ppm GREENHOUSE PLASTIC SPRAYING,0.19111867066666666,,1,,0.19 ± nan,0.19 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 400.0 ppm PRUNING SHEARS DIPPING,0.3935715273333333,,1,,0.39 ± nan,0.39 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 400.0 ppm PRUNING SHEARS SPRAYING,0.40784199066666665,,1,,0.41 ± nan,0.41 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 800.0 ppm GREENHOUSE PLASTIC SPRAYING,1.9435346430000002,,1,,1.94 ± nan,1.94 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 800.0 ppm PRUNING SHEARS DIPPING,1.4380903953333333,,1,,1.44 ± nan,1.44 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 800.0 ppm PRUNING SHEARS SPRAYING,0.8677570133333333,,1,,0.87 ± nan,0.87 ± nan
SOAP,SOAP 0.0 ML POSITIVE WATER,4.323571864,,1,,4.32 ± nan,4.32 ± nan
SOAP,SOAP 10.0 ML GREENHOUSE PLASTIC SPRAYING,0.05428881666666666,,1,,0.05 ± nan,0.05 ± nan
SOAP,SOAP 10.0 ML PRUNING SHEARS DIPPING,0.040973001,,1,,0.04 ± nan,0.04 ± nan
SOAP,SOAP 10.0 ML PRUNING SHEARS SPRAYING,0.5431025173333334,,1,,0.54 ± nan,0.54 ± nan
SOAP,SOAP 15.0 ML GREENHOUSE PLASTIC SPRAYING,0.23579124799999998,,1,,0.24 ± nan,0.24 ± nan
SOAP,SOAP 15.0 ML PRUNING SHEARS DIPPING,0.3618181706666666,,1,,0.36 ± nan,0.36 ± nan
SOAP,SOAP 15.0 ML PRUNING SHEARS SPRAYING,0.161202315,,1,,0.16 ± nan,0.16 ± nan
SOAP,SOAP 5.0 ML GREENHOUSE PLASTIC SPRAYING,0.6847072686666666,,1,,0.68 ± nan,0.68 ± nan
SOAP,SOAP 5.0 ML PRUNING SHEARS DIPPING,0.2936022973333334,,1,,0.29 ± nan,0.29 ± nan
SOAP,SOAP 5.0 ML PRUNING SHEARS SPRAYING,0.095408202,,1,,0.1 ± nan,0.1 ± nan
SOAP,SOAP 7.5 ML GREENHOUSE PLASTIC SPRAYING,0.14637737666666664,,1,,0.15 ± nan,0.15 ± nan
SOAP,SOAP 7.5 ML PRUNING SHEARS DIPPING,0.7689212493333333,,1,,0.77 ± nan,0.77 ± nan
SOAP,SOAP 7.5 ML PRUNING SHEARS SPRAYING,0.24555029466666664,,1,,0.25 ± nan,0.25 ± nan
